commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
d917252991781ac349f77d449260c2dbfc3e73b9	"2011-02-17 07:12:05 -0700"	1297951925	0	0	0	0	0	0	0	0	0	0	2	0
7322db1921085b38133e92c8c9c7757dbac4580c	"2011-02-17 15:12:07 +0100"	1297951927	0	0	0	0	0	0	0	1	0	0	0	0
a683f36bfe4556d5d6f924bad9c8e8b2c5d1c305	"2011-03-01 22:10:26 -0600"	1299039026	0	0	0	1	0	0	1	3	0	0	2	0
15ee5cfc82e9e976102710a698cd8126bef74004	"2011-03-01 22:25:33 -0600"	1299039933	0	0	0	0	0	0	0	0	0	0	1	0
b39e8885e3d9b85e1073096ec6d7b2d91f23c9de	"2011-03-02 10:31:27 -0600"	1299083487	0	0	0	0	0	0	0	0	0	0	0	0
30222790d3f22da78ef648455faa6135dc311b19	"2011-03-02 10:36:59 -0600"	1299083819	0	0	0	0	0	0	0	0	0	0	0	0
9f4b8dca50608c8c90d99730683ec2ad7145d196	"2011-03-02 10:42:35 -0600"	1299084155	0	0	0	0	0	0	0	1	0	0	3	0
5168258883e6fd2ee0462f0f820aa795e0cc4c50	"2011-03-02 10:55:25 -0600"	1299084925	0	0	0	0	0	0	0	2	0	0	3	0
27e814a4fc940ea34d60d61be2052ae8426b047b	"2011-03-02 16:29:19 -0600"	1299104959	0	0	0	0	0	0	0	1	0	0	1	0
674ba7d5eb363aeee0003a3c36366920d9f50e5e	"2011-03-02 20:44:34 -0600"	1299120274	0	0	0	0	0	0	0	0	0	0	0	0
71cc03f5eb95f20634852984ed45239485e41a3d	"2011-03-02 20:46:14 -0600"	1299120374	0	0	0	0	0	0	0	0	0	0	0	0
e26d3a5ba8a3e95ac0b36f86964822995680a507	"2011-03-02 21:16:58 -0600"	1299122218	0	0	0	0	1	0	0	0	0	0	0	0
a273e76057e80fc2ccb701c527f3cd5c9773f419	"2011-03-03 20:29:56 +0100"	1299180596	0	0	0	1	0	0	1	3	0	0	0	0
cd7062141ee99d005244ec353789b3d39693263b	"2011-03-03 13:52:53 -0700"	1299185573	0	0	0	1	0	0	0	2	0	0	0	0
bcbfbf158842698101bf881c783c5fe9f6068cd4	"2011-03-03 13:53:49 -0700"	1299185629	0	0	0	0	0	0	0	0	0	0	0	0
343721f357d3fa7b2fd23e0bd67bdc30380436a3	"2011-03-03 17:03:29 -0700"	1299197009	0	0	0	0	1	0	1	5	0	0	0	0
047fc200e52d1df9237e64dfb63a84a18936096f	"2011-03-05 17:24:00 -0700"	1299371040	0	0	0	0	0	0	0	1	0	0	0	0
b01e252ca5a86bdacfb231f3e08602ba5990fa92	"2011-03-07 11:32:03 -0800"	1299526323	0	1	0	0	0	0	0	1	0	0	4	0
9513ea03f50f6eaa755ce6caf808aeb936f47401	"2011-03-09 15:44:45 -0700"	1299710685	0	0	0	0	2	0	0	0	0	0	0	0
022dabdb380a97d074ba235b23c1fb9d7d6186b7	"2011-03-19 14:36:51 -0600"	1300567011	0	0	0	0	1	0	0	2	0	0	0	0
b145aadeab3a50ee225869c1bb037dae18b5af48	"2011-03-27 21:38:21 -0500"	1301279901	0	0	0	0	1	0	0	3	0	0	5	0
111fece0f62570fe6a16675f5b894e15388f190d	"2011-03-27 21:40:49 -0500"	1301280049	1	0	0	0	0	0	0	0	0	1	0	0
325b34392cf7d42c1246ae7d9e27c321ebde0abd	"2011-03-28 10:13:28 +0200"	1301300008	0	0	0	0	0	0	0	0	0	0	0	0
ef3750a90cb98c7a458b0f29a6042c03f3be1d2f	"2011-03-28 10:24:18 +0200"	1301300658	0	0	0	0	0	0	0	0	0	0	0	0
